"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"RNF111",0.384677393872161,4.36602350020421,6.49262276375554,0.0119758145343608,0.0213976617859324,1
"ZNF680",0.600443688623993,-0.150496531482305,6.4942650793276,0.0119833067902211,0.0214081218901299,1
"LHPP",-0.344837136761471,4.85945909940435,6.49084980078615,0.0119871402849935,0.0214120436688348,1
"R3HCC1L",0.168852809977196,4.73517126737616,6.49051089854966,0.0119893294147919,0.0214130275281948,1
"ELMO2",0.326238342537935,6.44466724290211,6.48982341092221,0.0119936996620147,0.0214153257474538,1
"FXYD2",-0.521309780740979,0.474811988771036,6.49233140003751,0.011993893226577,0.0214153257474538,1
"ARHGAP9",0.351783537331889,9.63586236779238,6.48698192132531,0.0120119673262785,0.0214446677987241,1
"TBC1D3C",1.91803412536966,1.47797676844636,6.48521175556168,0.0120320716079714,0.0214776257738578,1
"TVP23C",-0.283857212435732,1.34286922268337,6.48255800208824,0.0120472228993913,0.0215017347118727,1
"CD300H",0.615592376788022,3.47298518644251,6.48029972135775,0.0120553781845309,0.0215133523855569,1
"EPB41",-0.301792881577754,7.54705392117956,6.4788178193097,0.0120646169045676,0.0215269000604366,1
"SHQ1",-0.238557076571077,2.75193585239153,6.47690900787721,0.0120778673808913,0.0215476012378173,1
"ARPC4",0.349984574105733,9.06530342316218,6.47434702813828,0.0120935501232727,0.0215726354730686,1
"TCAF1",-0.418671364950992,1.73574772518819,6.47403512241485,0.0120996405997536,0.0215805543993968,1
"NEDD9",0.389820967677273,6.42440145101564,6.46820167059823,0.0121334392381806,0.0216365254051598,1
"CUX1",0.282015527834824,6.59808832146331,6.46806420335222,0.0121343329165892,0.0216365254051598,1
"CCT7",-0.196061556872587,6.92673809830452,6.467777749268,0.0121361955164207,0.0216368947482769,1
"TLCD2",0.279738831194289,2.11128480924636,6.46715935230475,0.0121425832273487,0.0216453304393683,1
"CCNI",-0.256266073214119,8.05760646552841,6.46145264293981,0.0121774031000375,0.0217044399996577,1
"CCDC47",0.230652670766883,4.5929097701021,6.45998490792637,0.0121870469389272,0.0217186669609734,1
"SH3TC2",0.459521319563602,1.22930734339647,6.45798910376145,0.0122081281273441,0.021753269887442,1
"RLIG1",0.474329517974624,1.66245998917728,6.45618090068583,0.0122164553388002,0.0217651405777151,1
"IGBP1",0.207654160874836,5.96132997826389,6.4551720758869,0.0122184661354725,0.021765756084316,1
"PADI6",0.756452410312686,0.319525452580391,6.45492724636064,0.0122385802470744,0.0217986159483868,1
"NEMF",0.318079695282123,4.04423492114701,6.45167286668906,0.012241541935986,0.0218009201666898,1
"CIMAP2",-0.497797771109093,0.0635981499460588,6.44966420029663,0.0122733192685954,0.0218545344469402,1
"PPT1",0.306819087032365,8.28586647707641,6.44060894103103,0.0123142326525434,0.0219244000502305,1
"TADA2B",0.184193437230249,5.9670311130713,6.44003677670517,0.0123180124165966,0.0219281425067988,1
"RBBP4",-0.186558402538733,6.3170057718594,6.43759034439968,0.0123341814000845,0.0219539358435387,1
"FMC1-LUC7L2",-0.845178137099576,3.33194209766744,6.43707875440411,0.0123380239784922,0.0219577850488688,1
"TUG1",0.183420926914097,6.89397654157766,6.43459307240827,0.0123540212684499,0.0219832618078475,1
"ANKRD39",0.237984997168326,2.39824230105218,6.4345485447947,0.0123558559835358,0.0219835335835574,1
"PHLDA1",-0.342340861503489,0.835704808993606,6.43406479699632,0.0123696321978776,0.0220050487037241,1
"ADK",-0.320659845775362,3.33146696258406,6.43009898771984,0.0123842391588409,0.022028035629566,1
"ANKRD13B",-0.410175283621426,0.83748234520913,6.42858171856563,0.012406095850436,0.022063909751694,1
"AACS",-0.155217544664577,3.44549314608442,6.425775802748,0.0124129070061803,0.0220730196694934,1
"TUBB",-0.214693050191556,8.04766806946203,6.4238861204898,0.0124251669159025,0.022091814935498,1
"ATP6V0D1",0.391791812255556,8.74520831980958,6.42292956619622,0.0124315437320627,0.0221001464333596,1
"UBE2R2",0.31847936956431,7.39090870711981,6.42254007369097,0.0124341414156519,0.0221017582350838,1
"NBPF10",0.319179441411292,4.72586748475118,6.41653222026548,0.0124743290445584,0.022170176857816,1
