"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"CCL8",5.54575931833171,1.9877772810694,102.996715073817,2.06143071297824e-14,3.89776266994161e-12,3.3910535228492e-10
"IL1RN",5.19727915091579,10.5059677559854,122.238669797938,2.42665128140345e-14,4.49299064387992e-12,3.99184135790868e-10
"GBP3",3.377252149846,11.0370520629493,122.145095375326,2.45733607220782e-14,4.49299064387992e-12,4.04231783878186e-10
"CASP5",4.88460081584278,4.57158459842437,122.75947383228,2.45817117294342e-14,4.49299064387992e-12,4.04369157949192e-10
"CCL22",3.82473140098419,2.64971222939989,121.113679758472,3.28075322257316e-14,5.93059236388225e-12,5.39683905113285e-10
"SRGAP2",2.1077883921404,6.29233512559027,119.770520886184,3.38949362862383e-14,6.06056197726761e-12,5.5757170190862e-10
"ACO1",1.9372425943447,4.98526525002538,118.605585113693,3.97904408828019e-14,7.03820164002249e-12,6.54552752522091e-10
"IRF7",3.3669253420803,8.92329159535393,118.505387945561,4.02961170339913e-14,7.04589272006767e-12,6.62871125209156e-10
"TMEM51",3.31725186428864,3.7682539785729,118.695541333843,4.06905658605732e-14,7.04589272006767e-12,6.69359808406429e-10
"ETV7",3.94323191638118,5.32014702460246,118.312804694993,4.17344390640631e-14,7.15137002712331e-12,6.86531522603838e-10
"TRIM25",2.11739458714893,7.75068154757542,118.1673463058,4.22142097872945e-14,7.15900774227829e-12,6.94423751000995e-10
"CD200R1L",3.9245025670387,5.1681499804785,117.667370853082,4.57013321327818e-14,7.67129503657409e-12,7.5178691358426e-10
"LAP3",2.23588391847537,8.00114695265683,117.280145672178,4.77158991982233e-14,7.92855092738154e-12,7.84926541810773e-10
"TRIM14",2.20385721655143,7.8880241811213,116.632328888838,5.22034630915881e-14,8.58746967856624e-12,8.58746967856624e-10
"HIRA",1.56697617380561,5.51193446928445,115.668160809673,5.97428537234782e-14,9.73039548268531e-12,9.82769943751216e-10
"P2RY14",4.48524420167429,3.76114306142774,115.302976976172,7.06746093860544e-14,1.13980129843196e-11,1.16259732440060e-09
"PARP9",1.98690920309663,5.95537598851209,114.280800003221,7.25914874792643e-14,1.15934948449893e-11,1.1941299690339e-09
"TMEM123",1.99890981986867,7.9376950435635,112.655989694373,9.13771883890722e-14,1.44534110480792e-11,1.50315474900024e-09
"TLR3",5.10703859617646,4.45080372516891,113.153186691014,9.47061441538008e-14,1.48372959174288e-11,1.55791607133002e-09
"IFI44",4.02329158290541,7.36889353090167,112.161239457778,9.81172935850855e-14,1.52266932025911e-11,1.61402947947466e-09
"NCOA7",2.39072433070527,5.91694553630765,109.545269247415,1.43101926124742e-13,2.20002493902056e-11,2.354026684752e-09
"LGALS3BP",2.9228302553924,9.49170742395622,106.687716249097,2.17628879568854e-13,3.31481024898857e-11,3.57999506890765e-09
"CDHR5",2.73375683528716,0.569956499596978,103.531534518449,2.37161730757949e-13,3.5791839183195e-11,3.90131047096826e-09
"TENT4A",1.87002503613118,3.39006824375779,103.699585151851,3.44023322229717e-13,5.14471240970803e-11,5.65918365067884e-09
"RIN2",3.30999337822305,3.8888208650578,103.059150789363,3.85265661267307e-13,5.70956768274523e-11,6.3376201278472e-09
"TNK2",2.15293541231283,5.45818157319398,101.044202206709,5.11055738436755e-13,7.50613115828984e-11,8.40686689728462e-09
"IFI6",3.58735687713083,11.3768196287471,100.85575114103,5.25816907357295e-13,7.65177287621111e-11,8.64968812602750e-09
"FCGR1A",3.54743457859035,6.60392525457109,100.805259663881,5.30274837621925e-13,7.65177287621111e-11,8.72302107888067e-09
"SOCS1",3.14618832697057,6.17359243683758,100.730464415731,5.36463483548884e-13,7.66045579248718e-11,8.82482430437914e-09
"LRRK1",3.04564448847185,6.04839225992014,100.685698040653,5.40190195701223e-13,7.66045579248718e-11,8.88612871928512e-09
"NAPA",1.43315295444236,8.83213365107835,99.9629786364414,6.03747041878102e-13,8.48858020418358e-11,9.93163883889478e-09
"UBE2L6",1.92459258608705,9.50825874205529,98.3414409146307,7.77745554055117e-13,1.08423003086497e-10,1.27939143642067e-08
"GBP7",2.86895891404163,8.5657235626088,98.133967554897,8.03530373464237e-13,1.11076257508292e-10,1.32180746434867e-08
"SEC24D",1.81284985058186,5.66787940231643,97.8363036964144,8.42412034925425e-13,1.15480649787694e-10,1.38576779745232e-08
"MED17",1.47026484910387,6.02932925305893,96.9044567882168,9.75871042040357e-13,1.32670071417883e-10,1.60530786415639e-08
"ABHD6",2.05964908960094,5.92315055540217,96.8170496625453,9.89798388980217e-13,1.33460520481349e-10,1.62821834987246e-08
"TM4SF19",4.05391573703514,1.22215480405498,89.7343812418381,1.1076041574971e-12,1.47773655609577e-10,1.82200883908273e-08
"PHF11",1.60873804335524,5.75465475121679,96.0744661075877,1.1139169176649e-12,1.47773655609577e-10,1.83239332955875e-08
"TRIM26",1.41884710088871,6.59128928882838,95.0678246267778,1.30857302719446e-12,1.72208210378791e-10,2.15260262973489e-08
"DSE",3.2077125070927,5.54950147582423,94.7577053059939,1.37780335640593e-12,1.79879882641886e-10,2.26648652128776e-08
"APOBEC3A",4.08273015884798,8.8580139588874,93.7416211552102,1.62131382868418e-12,2.10004822691769e-10,2.66706124818547e-08
"TENT5A",1.6755033078427,5.71686805849064,93.4872867058602,1.69016144198897e-12,2.17212154068114e-10,2.78031557207186e-08
"CORO2A",2.46906795922738,6.25186365102856,91.7938427335099,2.23022788415963e-12,2.84397276700977e-10,3.6687248694426e-08
"TRIM6",1.51937167169928,4.030095320882,90.1852093304311,2.91727202404202e-12,3.69147113811471e-10,4.79891247954912e-08
"DNPEP",1.7852219525353,7.94312201118075,89.3705702212705,3.33544443695559e-12,4.18840160213125e-10,5.48680609879194e-08
"EPB41L3",1.54233619458142,4.59259026264133,88.9099923246141,3.60745526396342e-12,4.49565447668168e-10,5.93426390921982e-08
"MOB3C",2.08625108554388,5.43299813317302,88.5890135708812,3.80616224970396e-12,4.707621729897e-10,6.26113690076301e-08
"MS4A4A",3.50841592029774,2.4285150351161,89.0888173912289,3.9134946655516e-12,4.80425277972566e-10,6.43769872483238e-08
"RHBDF2",1.92175415985203,7.05937274366331,87.4730852234763,4.59636060102797e-12,5.60075051014149e-10,7.56101318869101e-08
"PIK3AP1",1.72806587451051,7.62979447793132,87.0177239424901,4.96735798573189e-12,5.96618338595119e-10,8.17130388652896e-08
"PLA1A",2.81149154687696,4.08039210614457,87.0697343071434,4.968797105625e-12,5.96618338595119e-10,8.17367123875313e-08
"PAK3",2.29671236407846,3.73459550440311,87.0109721997373,5.01460816563785e-12,5.96816433004871e-10,8.24903043247427e-08
"ANGPTL6",1.50355354715541,5.10478817614885,86.9322299913341,5.0430081573056e-12,5.96816433004871e-10,8.29574841876771e-08
"ARMCX1",2.13510107883102,4.32914050025043,86.7718292072237,5.19492486451925e-12,6.10403671581012e-10,8.54565140213417e-08
"TFEC",2.44740761362897,3.39739848919529,85.8673341696766,6.14821293392767e-12,7.17291508958228e-10,1.0113810276311e-07
"HES4",3.70788714599866,1.35745076292259,83.2043518753171,6.70180202821712e-12,7.76370727916702e-10,1.10244643364172e-07
"GSG1",4.54620923077908,0.892645068572641,71.8240861443591,7.62093788567642e-12,8.76674323212428e-10,1.25364428219377e-07
"ATP13A1",1.37597747678121,7.94226056834921,82.4204934897786,1.10500282585815e-11,1.26231225592823e-09,1.81772964853665e-07
