"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"ZNF253",55.92868361582,-0.578345546185519,0.183803296398187,-3.14654610400787,0.0016521121262125,0.00344003592314759,1
"ZNF408",400.152790442691,0.426570685860586,0.135571973802124,3.14645183585799,0.00165264478413685,0.00344059689848178,1
"PSMD9",904.018895761329,0.339131727092471,0.107800565255109,3.1459178928229,0.0016556647886028,0.00344633521054922,1
"PAPOLG",261.690481885542,0.576757815854882,0.183391736762662,3.14494985453624,0.00166115300602066,0.00345720856507804,1
"NCAPD3",234.121829722752,-0.455765561565784,0.144922846210213,-3.14488414687005,0.00166152613645963,0.0034574345810424,1
"CDCA3",68.9634322512067,0.828845290404401,0.263678513452811,3.14339336774491,0.00167001248970387,0.00347454047125591,1
"ISOC1",112.22228186094,-0.434637713679138,0.138277942690699,-3.14321796536515,0.00167101359636524,0.00347606998320765,1
"TNNT3",200.216212273393,0.952035443370828,0.302936914414357,3.14268548358103,0.00167405611195494,0.00348184490503678,1
"PLA2G4C",91.6102525599132,0.795087865126281,0.253042156230227,3.1421162266847,0.0016773143905567,0.00348806668012347,1
"ESS2",678.332523414179,0.334913762116261,0.106626536741259,3.14099822006754,0.00168373055684413,0.00350085243047293,1
"OTUD1",180.983972171791,0.644828306158774,0.205319441611165,3.14061007130515,0.00168596339175056,0.00350493741533002,1
"TXK",191.4595345408,-0.75362239189555,0.240014546692633,-3.13990298621629,0.00169003791729615,0.00351284916969794,1
"WASHC2A",1119.95129043539,0.363362068995835,0.115736992239781,3.13954995688007,0.0016920756111288,0.00351652539949967,1
"ANO10",498.515934465711,0.673128220252758,0.214437809759444,3.13903700568418,0.001695040405475,0.00352212688387253,1
"PTPRM",49.1217890755484,-0.973574861175207,0.310301449216936,-3.13751309777018,0.00170387661204905,0.00353939159054173,1
"MAP2K3",6542.05021143146,0.541889267705887,0.172713123561001,3.13751066817163,0.00170389073356454,0.00353939159054173,1
"PAXIP1",121.592381375747,-0.391905307683093,0.124928242859032,-3.13704330353318,0.00170660919221823,0.0035442123179562,1
"TMPO",1013.36480392916,0.495941747770514,0.158093346984642,3.13701845921887,0.00170675381248786,0.0035442123179562,1
"AUNIP",10.7993281963289,1.0620252672946,0.338624443986028,3.13629239163378,0.00171098527768538,0.00355243488154852,1
"JAK1",4405.24132991444,-0.313805916728301,0.100061360481199,-3.1361348198665,0.00171190486690024,0.00355377963951495,1
"LZTS2",380.647361083667,-0.394626133322277,0.125837777339807,-3.13599096920352,0.00171274477660656,0.00355439978059601,1
"SMIM10L1",146.608689964928,-0.355269485800618,0.113287806664192,-3.13599050296481,0.00171274749947924,0.00355439978059601,1
"ZFYVE1",664.319063246068,0.326824734706708,0.104226002695715,3.13573125950982,0.00171426211941452,0.00355697823475913,1
"PLXNB1",35.2038498752746,-0.561145347393156,0.17902545185667,-3.13444452491825,0.00172179806392692,0.00357151699785342,1
"PPT2-EGFL8",13.4466345668128,-1.03796696175305,0.33114892845261,-3.13444155354284,0.0017218155014135,0.00357151699785342,1
"RFC5",127.870134874808,-0.353435756934872,0.112859364132632,-3.13164760098698,0.00173828384408797,0.00360510470362263,1
"JMJD6",825.769425915524,0.446507805598558,0.142605861237415,3.1310620876599,0.00174175332898146,0.00361172711562552,1
"SLC13A5",22.2793997010218,0.626105085023593,0.199970167802286,3.13099244704658,0.00174216641092158,0.00361201062670449,1
"DENND5B",50.2767619317814,-0.906143259072047,0.289423071859367,-3.13086048479352,0.00174294940848583,0.00361236205679652,1
"LIN7B",34.8417053955185,-0.600651295803395,0.191848944524349,-3.1308553575449,0.00174297983752685,0.00361236205679652,1
"NUP35",42.8097390544584,-0.51779363135565,0.165385728150108,-3.13082414756907,0.00174316507208995,0.00361236205679652,1
"SIMC1",128.555555796936,-0.39034238599835,0.124714620412263,-3.1298847296974,0.00174874909748428,0.00362335933800246,1
