"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"HLX",1.38004224398962,6.47222802401763,36.7990817733756,2.67594003733549e-07,2.09392307921502e-06,0.00519292923645326
"RGL1",2.02303859072287,2.83064581775681,36.8648796797385,2.6927327666405e-07,2.10583844433595e-06,0.00522551720694255
"IMPDH1",1.09461157525223,9.05201110161837,36.7755984578372,2.69333763724716e-07,2.10583844433595e-06,0.00522669101884184
"LIN54",1.50064521057593,3.75925469891028,36.78945518711,2.69714459369716e-07,2.10796568607681e-06,0.00523407879852871
"HKDC1",-1.76749175829775,1.53737851805952,36.9073685569367,2.71900820110878e-07,2.12419779189682e-06,0.0052765073150717
"GNAT2",1.82122401333843,2.28936171311614,36.8570789071415,2.72080773433868e-07,2.12474828541555e-06,0.00527999948925765
"TMEM131",1.00102720843307,6.32395923437919,36.7320274855503,2.72650303559277e-07,2.1283394170842e-06,0.00529105179087133
"ENO2",-1.29183030907706,3.89017551082243,36.7400224262874,2.73091281519574e-07,2.13092457143902e-06,0.00529960940916885
"CEP170",1.46283987039419,4.85753139385292,36.7085781451378,2.74695452704824e-07,2.14258036784156e-06,0.00533073995518981
"B4GALT7",-1.13875315806605,3.83047832080893,36.7142459896387,2.75037774826084e-07,2.14438853285455e-06,0.00533738305827498
"PUM3",-1.18924041293755,3.19234766590041,36.7300801202338,2.75519145219948e-07,2.1472789285696e-06,0.00534672453213831
"SETD5",1.01601111701148,6.77788579486541,36.6830242186206,2.76404229842632e-07,2.15294064208785e-06,0.00536390048432612
"CDC42SE1",0.772452957618146,9.60204471286491,36.6820954187424,2.76467488409921e-07,2.15294064208785e-06,0.00536512808008293
"OGFOD3",-0.882013793317783,4.14478979596272,36.684835787534,2.76807793139871e-07,2.15472604639885e-06,0.00537173203367233
"SLC7A5",1.74779334142136,5.39569565305342,36.6678917693456,2.77743514809025e-07,2.16114300255972e-06,0.00538989064838394
"ZBTB9",-1.10568305711334,2.6224663776325,36.7165017581686,2.79575536581124e-07,2.17452619755242e-06,0.0054254428628933
"VAV1",0.83739989170559,8.27667584752051,36.6137259885843,2.81808933380178e-07,2.19101929534284e-06,0.00546878416117573
"TRAT1",-2.05360348309532,2.77724416501469,36.723850534906,2.82373354034606e-07,2.19396745088287e-06,0.00547973730839556
"CHFR",0.710417409113217,6.50151044084241,36.6061786120596,2.82414237468072e-07,2.19396745088287e-06,0.0054805306923054
"DDX27",-0.708204258393724,5.54193184407485,36.5997867352636,2.82974116530667e-07,2.19743725706048e-06,0.00549139570539413
"POC1B",1.27776921138944,4.04873340208515,36.6028637332969,2.83452700663433e-07,2.20027324362983e-06,0.00550068310907457
"PGM2L1",1.55974660441727,3.22363213927653,36.6282084839568,2.83936209127692e-07,2.20314517166413e-06,0.00551006607433199
"VPS54",1.35776265415648,4.14459200925318,36.5867191752081,2.84675016160357e-07,2.20799494948357e-06,0.00552440336360789
"PCBP1",0.735076202525975,9.00048893206463,36.5746118912651,2.84912921865707e-07,2.20895731591127e-06,0.00552902016172591
"YJU2B",-0.627794712852351,5.67573036656967,36.5623093839673,2.85952413968501e-07,2.21613120825588e-06,0.00554919254547273
"HSPA8",-1.23889402164014,8.94167971364437,36.5491164937747,2.8695558688207e-07,2.2230180115902e-06,0.00556866011903346
"KIAA0930",1.18469708374375,8.31874039907192,36.5452183384119,2.87269413843172e-07,2.22456115125323e-06,0.0055747502450406
"TEX264",-1.09820541170821,5.08538465902998,36.5436072539114,2.87535584502946e-07,2.22573416548232e-06,0.00557991555286417
"LCOR",1.08885309080002,5.37046030685183,36.5394688788341,2.87833985833142e-07,2.22715563360365e-06,0.00558570632907796
"COX4I1",-1.1305861275903,7.47998664772886,36.5255812436891,2.88855690575586e-07,2.23417039908721e-06,0.00560553353130981
"FBXL6",-1.03339339951821,3.63495426530877,36.5340351886119,2.89523867229152e-07,2.23844628185216e-06,0.00561850016744893
"AKR1C3",-1.99921563051742,1.97984906278297,36.6736599883594,2.91780665995978e-07,2.25456906691731e-06,0.00566229560431796
"PRUNE2",3.13094531010931,3.4856000773798,36.5834943590042,2.91841569416484e-07,2.25456906691731e-06,0.00566347749609629
