"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"ARGLU1",4892.13510378621,0.468139463034152,0.238818517228167,1.9602310091679,0.0499687956205956,0.0892998580078151,1
"ELAPOR1",2626.63726754424,-0.707198565267945,0.360798466305882,-1.96009304725921,0.0499849157487054,0.0893192157210785,1
"POT1",325.559102900461,-0.548088624486903,0.279649107924767,-1.95991551181474,0.0500056662527837,0.0893468425906609,1
"FOLR1",3.92618052830893,2.93744315639578,1.499366480627,1.95912286579023,0.050098399563125,0.0895030641655575,1
"DCK",774.525162604435,0.422486122535808,0.215657933204964,1.95905671661182,0.0501061450064573,0.0895074340728782,1
"SPINK9",11.7556206668307,1.81871043101597,0.928415422978681,1.95894034717876,0.0501197732030203,0.0895103634354007,1
"BORA",199.529687459318,-0.401874005557209,0.205148814535359,-1.95893896080956,0.0501199355814974,0.0895103634354007,1
"ASTN2",45.2339516326442,-1.21250735348948,0.618971384362453,-1.95890696100334,0.0501236836809959,0.0895103634354007,1
"SPDYE11",90.9554972212749,-0.409968326303983,0.209324666288076,-1.95852850776687,0.0501680292856698,0.089580084008348,1
"PXMP2",98.4535848614151,-0.715445219440593,0.365315281723249,-1.9584322234365,0.0501793167365385,0.0895907674080482,1
"ACSS3",10.2924831617921,2.08494795087682,1.06501504286754,1.95766995484226,0.0502687529490296,0.0897409615589378,1
"SVEP1",5.16422028769868,2.65788472852319,1.35774508188077,1.95757271669984,0.0502801714056447,0.0897432430616924,1
"GPC2",162.274579603484,-0.696417190420135,0.355756216714221,-1.95756857561696,0.0502806577319595,0.0897432430616924,1
"EXOC4",1828.72961508009,0.228817035273727,0.116929308195161,1.95688351197478,0.0503611654898983,0.0898774392565916,1
"ANKRD36B",334.973652050221,-0.717884757028109,0.366861285901787,-1.95682887406194,0.0503675911128512,0.0898794098146916,1
"ZNF497",160.350063955321,-0.583421587618866,0.298157577847472,-1.95675585987396,0.0503761789270298,0.0898852379122684,1
"PEX26",2263.59528069791,-0.192321202615429,0.0982918044102304,-1.95663518204181,0.050390375554278,0.0899010714177412,1
"AQP7",8.6978625221577,-2.23551079372477,1.14306427623442,-1.95571748693711,0.0504984435940055,0.0900828387394667,1
"PHEX",17.7762417188725,-1.5172903121916,0.775837930710211,-1.95567946878113,0.050502924809,0.0900828387394667,1
"DOHH",554.411256635224,-0.463542214764632,0.237109618733959,-1.9549700988079,0.0505865996557781,0.0902225626384469,1
"CLCN1",59.116762118951,1.21282418252399,0.620501370524694,1.95458743547727,0.0506317855164382,0.0902936181366954,1
"ACVR2B",123.558367276576,-0.832912739355321,0.426443725206874,-1.95315979605812,0.0508006633266392,0.090585219973283,1
"KIF14",42.4000985157858,1.20071677250922,0.614876007690453,1.95277870252127,0.0508458232060302,0.0906561758629632,1
"AP1M1",5505.45327596751,0.233172720819361,0.119480602123805,1.95155294394774,0.0509913046139248,0.0909059673769464,1
"MPLKIP",580.248996009087,-0.317507877262789,0.162704667645126,-1.95143680791816,0.0510051064922914,0.0909209761113248,1
"MPIG6B",2696.88514023728,0.635213855996881,0.325570764386221,1.95107769333777,0.0510478043067964,0.0909874857262337,1
"PRRC1",723.456327719577,0.391884643594522,0.200942728679462,1.95023052672707,0.0511486488731949,0.0911576110022435,1
"SLC35D1",543.423423247492,0.396266058487892,0.203219087910425,1.94994506944425,0.0511826665345814,0.091208613396189,1
"MTOR",2196.3396523558,0.244423573807413,0.125391338059762,1.94928595219966,0.0512612852522687,0.0913390766864456,1
"CLCN5",346.300962381531,0.382167095880832,0.196178878570699,1.94805423838279,0.0514084736052882,0.0915916792398015,1
"ZNF529",401.281206328503,-0.462951673982292,0.237657328516848,-1.94797979456995,0.051417380878435,0.0915978866192139,1
"HSD17B14",15.0232754389211,-1.98593712311576,1.01962558435036,-1.94771213433319,0.0514494173537742,0.091645292038098,1
"TBCCD1",257.090611331241,-0.485154411479258,0.249137888210334,-1.94733292059402,0.0514948343621306,0.091708548166059,1
"ZNF283",212.506343691796,-0.444922216474686,0.228478670308655,-1.9473249554264,0.0514957886801009,0.091708548166059,1
"NLN",457.924676967702,0.377443100937971,0.193841394144309,1.94717491898029,0.0515137675240354,0.0917226620025797,1
"ANGEL2",632.758978897047,0.398713185847546,0.204765664126475,1.94716818148417,0.0515145750003831,0.0917226620025797,1
"ZNF620",96.0145536833276,-0.5412156145515,0.277965039273778,-1.94706361622131,0.0515271083102362,0.0917353071950974,1
"ACSL6",375.851247359191,0.724433856368906,0.372102300315695,1.94686744950055,0.0515506279586026,0.0917675069794263,1
"NCLN",5716.60668263245,0.271166678268427,0.139318992083215,1.94637266760055,0.0516099903514638,0.0918634984757324,1
"SMCHD1",17296.3572149095,0.496314854937518,0.25503480863623,1.94606711762801,0.0516466778502486,0.0919191136871126,1
"SKI",4290.1446164787,0.31043470528296,0.159553486731638,1.94564663951906,0.0516972004921569,0.0919993379319914,1
"SPATA22",2.97540869717061,-2.50536302393016,1.28800089090533,-1.94515628181682,0.0517561717625622,0.0920945787051912,1
"NUCB1",20168.4647858376,0.434687975343708,0.223490743130403,1.94499319862244,0.0517757968995414,0.0921197945468508,1
"ACRBP",1945.7995429233,-0.492561599098528,0.253286129086464,-1.94468445972572,0.0518129670320017,0.0921762179450716,1
"KCTD3",117.074642539037,0.82260606366357,0.423057997766241,1.94442858427675,0.051843789669999,0.0922213383387345,1
"TAL1",1342.02147552755,0.685968844939373,0.352800845104994,1.94435147890654,0.0518530807544692,0.0922281522686379,1
"SMPD2",626.760301649949,-0.33956724210898,0.174708875558747,-1.94361758109306,0.0519415841203217,0.0923758403487663,1
