"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"ZBP1",3.25165174073231,8.26868183491086,279.637150768705,1.93978886127728e-22,8.74242772996347e-20,2.53530404168941e-18
"EIF4B",-1.42980595319371,8.2434430478816,276.53657519527,2.47264349557665e-22,1.04541021830476e-19,3.23174504871868e-18
"HERC6",2.74177757206642,6.01041947793871,276.516295722256,2.47954986744051e-22,1.04541021830476e-19,3.24077167674474e-18
"EIF2AK2",3.1789535134255,7.45200962139146,269.61268540884,4.28866487415881e-22,1.75165155953924e-19,5.60528499052557e-18
"IFI6",4.91166646371086,9.92361355717143,268.017969755468,4.87551999553322e-22,1.88248316059839e-19,6.37230463416192e-18
"TRIM6",4.8587422202476,2.286922895668,253.121074573156,4.89704877278846e-22,1.88248316059839e-19,6.40044274603452e-18
"OTOF",6.3162870834675,6.39924074878069,265.433246826537,6.47565100699334e-22,2.3560936469038e-19,8.4636758661403e-18
"TOR1B",2.95775296139362,6.79475418123997,264.504503526548,6.48962289889342e-22,2.3560936469038e-19,8.4819371288537e-18
"PARP12",2.86781109810153,7.99521737109034,261.82742291553,8.07776928239808e-22,2.73290124032371e-19,1.05576444520943e-17
"CHMP5",3.46542179968225,5.54551278469449,261.599690742327,8.26837265968039e-22,2.73290124032371e-19,1.08067630662023e-17
"GTPBP2",2.02618782759741,7.40220492657405,261.470418385705,8.31894597004735e-22,2.73290124032371e-19,1.08728623828519e-17
"SHISA5",2.17289021008543,10.3630459450948,261.404865523552,8.36389055952168e-22,2.73290124032371e-19,1.09316049612948e-17
"TRIM69",1.61010804494962,6.7759467675628,260.667234181388,8.88942449412251e-22,2.833775076541e-19,1.16184778138181e-17
"TRIM22",3.1243838171303,9.44417061887062,259.424119002251,9.85336706604214e-22,3.06627398936121e-19,1.28783507553171e-17
"ISG15",6.16164188959908,10.7840277693063,256.704795281296,1.23610630374763e-21,3.75718823022827e-19,1.61559093899816e-17
"CCR1",2.97512235778943,8.32436572627438,256.412418676577,1.2667398138423e-21,3.76279303793611e-19,1.65562893669189e-17
"C1QC",5.68073523623603,4.20496448840798,258.918215902558,1.43802004369701e-21,4.17664932691554e-19,1.87949219711199e-17
"LMNB1",2.78950334660628,7.01169430608229,254.107477261274,1.53822279799104e-21,4.37055912385715e-19,2.01045719697429e-17
"AGRN",3.83484810239472,5.14451163789247,253.478304937619,1.64354414936747e-21,4.57045149621974e-19,2.14811220322328e-17
"CARD16",2.80287450969292,5.75880115920523,251.162865468436,1.97758344551973e-21,5.3759627492413e-19,2.58470156329429e-17
"FBXO6",2.91274180322422,6.53649941021639,250.930440560208,2.0154718799757e-21,5.3759627492413e-19,2.63422174712824e-17
"NTNG2",3.40663033494864,7.81936351864346,245.130657582366,3.32016221253057e-21,8.67890402355491e-19,4.33945201177745e-17
"DDX60",3.4691582289256,6.13161146931136,241.446363161554,4.59360257742665e-21,1.17722324876405e-18,6.00383856869664e-17
"IFIT3",4.88901501368628,10.679108786604,238.294826624418,6.0605083034298e-21,1.52328545241976e-18,7.92108435258275e-17
"MX2",2.73479749247102,9.75962155751116,237.501904824153,6.50470280580772e-21,1.60408425796051e-18,8.50164656719069e-17
"FAM20A",4.5661847758147,3.58177631530177,236.297738497287,9.5049608541165e-21,2.30055256228338e-18,1.24229838363303e-16
"RSPH9",3.69572559563945,2.55400211254903,234.642328295055,1.14622511970883e-20,2.72384769356262e-18,1.49811623145944e-16
"TDRD7",2.73060151493223,5.99618077993267,230.769773811152,1.19667049632405e-20,2.7929434619563e-18,1.56404833869553e-16
